#TIME;TRIAL;RESPONSE;RT;PRIME;TARGET;TYPE;RESULT;QUESTION
604.5;119;1;0.5681;0;1;incongruent;correct;0
608.1;120;0;0.5851;1;0;incongruent;correct;0
611.5;121;1;0.5181;1;1;incongruent;correct;0
631.4;122;0;0.635;1;0;incongruent;correct;0
635.0;123;1;0.4514;0;1;incongruent;correct;1
639.9;124;0;0.4514;0;0;congruent;correct;0
643.5;125;0;0.518;1;0;congruent;correct;0
646.6;126;1;0.4011;1;0;incongruent;incorrect;0
650.1;127;1;0.4346;1;1;incongruent;correct;0
653.3;128;1;0.5518;1;1;incongruent;correct;0
656.3;129;0;0.6017;1;0;incongruent;correct;0
660.3;130;0;0.4346;1;0;congruent;correct;0
663.2;131;0;0.4179;1;0;incongruent;correct;0
666.7;132;0;0.4014;1;1;congruent;incorrect;1
670.2;133;1;0.4013;1;1;incongruent;correct;0
673.2;134;1;0.4013;0;1;incongruent;correct;0
676.7;135;1;0.5179;1;1;incongruent;correct;0
679.7;136;1;0.501;0;1;incongruent;correct;1
683.9;137;0;0.5349;1;0;incongruent;correct;0
687.8;138;1;0.5848;1;1;congruent;correct;0
690.8;139;0;0.5347;1;0;incongruent;correct;0
694.7;140;0;0.6348;1;0;incongruent;correct;0
698.7;141;1;0.4181;1;1;congruent;correct;1
707.1;142;0;0.618;1;0;incongruent;correct;0
711.0;143;0;0.6017;0;0;congruent;correct;0
714.9;144;0;0.5342;1;0;congruent;correct;0
717.9;145;0;0.6848;1;1;congruent;incorrect;0
721.3;146;0;0.5015;1;0;congruent;correct;0
725.0;147;1;0.5179;1;1;congruent;correct;0
728.0;148;0;0.451;1;0;congruent;correct;0
731.3;149;0;0.6684;1;0;incongruent;correct;0
735.3;150;0;0.6514;1;0;incongruent;correct;1
739.3;151;0;0.6013;0;0;congruent;correct;1
759.4;152;0;0.5009;1;0;incongruent;correct;0
763.3;153;1;0.4847;1;1;congruent;correct;1
767.9;154;0;0.5513;0;0;congruent;correct;1
772.4;155;1;0.4847;1;0;incongruent;incorrect;0
775.9;156;1;0.518;1;1;congruent;correct;0
779.6;157;0;0.5843;0;0;congruent;correct;0
783.0;158;0;0.6343;0;0;congruent;correct;0
786.5;159;0;0.6176;1;0;congruent;correct;0
790.2;160;1;1.202;1;1;congruent;correct;0
793.9;161;0;1.519;1;0;congruent;correct;0
798.4;162;1;0.4679;1;1;incongruent;correct;0
802.0;163;1;0.4347;1;1;incongruent;correct;0
805.0;164;0;0.4346;1;0;incongruent;correct;0
807.9;165;1;0.5347;0;1;incongruent;correct;1
812.7;166;0;0.4841;1;0;incongruent;correct;0
815.6;167;1;0.5512;0;1;incongruent;correct;0
819.5;168;0;0.7012;1;0;incongruent;correct;1
825.1;169;0;0.7349;1;0;congruent;correct;0
828.3;170;0;0.5844;1;0;congruent;correct;1
832.5;171;0;0.8178;1;0;congruent;correct;0
836.4;172;0;0.5848;1;1;incongruent;incorrect;1
841.6;173;1;0.5181;0;1;incongruent;correct;1
846.4;174;0;0.5681;1;0;incongruent;correct;1
850.5;175;1;0.6176;0;1;incongruent;correct;0
854.1;176;1;0.4679;1;1;congruent;correct;0
857.2;177;0;0.4841;0;1;incongruent;incorrect;0
860.3;178;1;0.4182;1;1;congruent;correct;0
